Designator,Footprint,Quantity,Value,LCSC Part #
A_NEMA1,Pololu_Breakout-16_15.2x20.3mm,1,8+8 pin,
"C_DFU1, C_ENA1, C_MCU1, C_POW_BST1, C_SER4, C_WIFI1",0603,6,0.1uF 50V,C14663
"C_MCU2, C_NEMA2, C_POW1, C_POW2, C_SER5, C_STP1",0603,6,10uF 12V,C96446
C_NEMA1,CP_Elec_6.3x7.7,1,100uF 25V,C4747964
"C_POW_6V_FF1, C_SER2, C_SER3",0603,3,47pF 50V,C1671
"C_POW_IN1, C_POW_IN2, C_POW_IN3, C_POW_OUT1, C_POW_OUT2, C_POW_OUT3, C_POW_OUT4, C_POW_OUT5",1210,8,22uF 25V,C52306
"D_HALL1, D_NEMA1, D_NEMA2, D_POW2, D_RX1, D_SERVO1, D_STP1, D_STP2, D_STP3, D_TX1, D_USB1",0603,11,LED white,C2290
D_STP4,0603,1,LED white,
FB_USB1,0805,1,40 Ohms @ 100 MHz 1 Power,C369522
F_USB1,0805,1,6V 750mA,C269105
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3_Pad_Via,5,M3,
"J1, J2, J3",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03_Pin,
J_28BYJ-48-12V_1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,C492404
J_HALL1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,C2937625
"J_LEDE1, J_LEDP1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,C492401
"J_NEMA1, J_OLED1",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,C32713263
J_POW1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J_SERVO1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,C2937625
J_USB1,USB-TH_GT-USB-7057A,1,USB_C_Receptacle_USB2.0_16P,
J_USB2,USB-TH_GT-USB-7057A,1,USB_C_Receptacle_USB2.0_14P,
L1,IND-SMD_L8.5-W8.0_PSPMAA0803H-330M-ANP,1,SRP6060FA-100M,C3036141
LS1,BUZ-SMD_L5.0-W5.5-P4.60,1,CSS-0575A-SMT,C94598
"Q_AUTO1, Q_AUTO2",SOT-23_Handsoldering,2,SS8050,C2914407
"Q_HALL1, Q_SERVO1",SOT-23_Handsoldering,2,BSS138LT3G,C83790
"R_AUTO1, R_AUTO2, R_DFU1, R_ENA1, R_HALL1, R_HALL2, R_SERVO1, R_SERVO2, R_WIFI1",0603,9,10K,C25804
"R_ENDSTOP1, R_HALL3, R_NEMA1, R_NEMA2, R_RX1, R_SERVO3, R_TX1",0603,7,100R,C22775
"R_LEDE1, R_LEDP1",0603,2,27R,
"R_POW6, R_STP1, R_STP2, R_STP3, R_STP4, R_USB1, R_USB2",0603,7,5K1,C23186
R_POW_FBT1,0603,1,100K,
R_POW_FFB1,0603,1,11K,
"R_SER1, R_SER2",0603,2,27R,C25190
R_USB3,0603,1,2K,C22975
SW1,SW-TH_JL010,1,SW_SPDT,C2681582
"SW_DFU1, SW_ENA1, SW_WIFI1",KEY-SMD_4P-L6.0-W6.3-P4.50-LS8.0,3,B3FS-1000,C271750
U1,TDFN-6_L2.0-W2.0-P0.65-TL-EP,1,HUSB237-AA001-DN06R,C22373734
U_MCU1,ESP32-WROOM-32,1,ESP32-WROOM-32,C473012
U_POW1,SOT-23-6_Handsoldering,1,~,C311983
U_POW2,SOT-223,1,AZ1117CH-3.3TRG1,C92102
U_SER1,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS-R,C132160
U_STP1,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003,C7512
U_USB1,SOIC-8_3.9x4.9mm_P1.27mm,1,USB6B1,C10508
