Designator,Mid X,Mid Y,Rotation,Layer
A_NEMA1,2.286,-15.875,90.0,bottom
C_DFU1,15.692,19.316,270.0,top
C_ENA1,24.492,19.1785,270.0,top
C_MCU1,-11.811,26.543,270.0,top
C_MCU2,-13.462,26.543,90.0,top
C_NEMA1,-4.572,-17.145,0.0,bottom
C_NEMA2,9.906,-24.384,180.0,top
C_POW1,33.393,9.881,90.0,top
C_POW2,24.511,9.881,270.0,top
C_POW_6V_FF1,16.383,-16.541657,90.0,top
C_POW_BST1,19.3715,-20.020657,0.0,top
C_POW_IN1,31.877,-17.430657,270.0,top
C_POW_IN2,28.448,-17.430657,270.0,top
C_POW_IN3,25.019,-17.430657,270.0,top
C_POW_OUT1,25.019,-24.631157,90.0,top
C_POW_OUT2,21.59,-24.631157,90.0,top
C_POW_OUT3,18.161,-24.631157,90.0,top
C_POW_OUT4,31.877,-24.631157,90.0,top
C_POW_OUT5,28.448,-24.631157,90.0,top
C_SER2,-28.194,-0.508,180.0,top
C_SER3,-28.194,4.064,180.0,top
C_SER4,-33.274,-3.048,270.0,top
C_SER5,-31.623,-3.048,90.0,top
C_STP1,-20.574,-11.176,270.0,top
C_WIFI1,33.292,19.1785,270.0,top
D_HALL1,28.702,-10.668,90.0,top
D_NEMA1,-2.3115,-7.112,0.0,top
D_NEMA2,4.3435,-7.112,0.0,top
D_POW2,-24.13,-27.432,0.0,top
D_RX1,-20.828,-5.461,0.0,top
D_SERVO1,18.542,-10.668,90.0,top
D_STP1,-9.144,-19.05,270.0,top
D_STP2,-11.684,-19.05,270.0,top
D_STP3,-14.224,-19.05,270.0,top
D_STP4,-16.764,-19.05,270.0,top
D_TX1,-24.257,5.461,180.0,top
D_USB1,-28.321,-3.048,270.0,top
FB_USB1,-35.052,-3.048,90.0,top
F_USB1,-37.084,-3.048,270.0,top
J1,1.524,-15.748,180.0,bottom
J2,5.08,-15.748,180.0,bottom
J3,8.636,-15.748,180.0,bottom
J_28BYJ-48-12V_1,-12.827,-26.797,90.0,bottom
J_HALL1,34.036,-2.032,90.0,bottom
J_LEDE1,-30.607,24.511,90.0,bottom
J_LEDP1,-37.084,24.511,90.0,bottom
J_NEMA1,2.286,-26.798,270.0,bottom
J_OLED1,-20.066,24.511,90.0,bottom
J_POW1,-35.131,-21.71,180.0,bottom
J_SERVO1,23.876,-2.032,90.0,bottom
J_USB1,-41.275,0.0,270.0,top
J_USB2,41.275,0.0,270.0,top
L1,38.1,-21.696,270.0,top
LS1,-36.195,17.653,180.0,top
Q_AUTO1,18.923,11.938,180.0,top
Q_AUTO2,13.310001,11.93797,0.0,top
Q_HALL1,31.496,-7.874,270.0,top
Q_SERVO1,21.336,-7.874,270.0,top
R_AUTO1,16.129,14.605,0.0,top
R_AUTO2,16.129,9.271,180.0,top
R_DFU1,15.692,25.4035,90.0,top
R_ENA1,24.492,25.4,270.0,top
R_ENDSTOP1,25.527,2.54,90.0,top
R_HALL1,32.766,-4.064,0.0,top
R_HALL2,29.21,-4.064,180.0,top
R_HALL3,31.496,-11.684,180.0,top
R_LEDE1,-30.612,22.352,180.0,top
R_LEDP1,-37.084,22.352,180.0,top
R_NEMA1,-5.6915,-7.112,0.0,top
R_NEMA2,7.7235,-7.112,0.0,top
R_POW6,-24.13,-25.781,0.0,top
R_POW_FBT1,14.732,-16.541657,270.0,top
R_POW_FFB1,15.621,-14.001657,180.0,top
R_RX1,-24.384,-5.461,180.0,top
R_SER1,-28.194,0.968,180.0,top
R_SER2,-28.194,2.588,180.0,top
R_SERVO1,22.606,-4.064,0.0,top
R_SERVO2,19.05,-4.064,180.0,top
R_SERVO3,21.336,-11.684,180.0,top
R_STP1,-9.144,-22.5565,90.0,top
R_STP2,-11.684,-22.5565,90.0,top
R_STP3,-14.224,-22.5565,90.0,top
R_STP4,-16.764,-22.5565,90.0,top
R_TX1,-20.828,5.461,0.0,top
R_USB1,-41.275,6.096,0.0,top
R_USB2,-41.275,-6.096,180.0,top
R_USB3,-29.972,-3.048,90.0,top
R_WIFI1,33.292,25.4,270.0,top
SW1,27.94,2.516,180.0,bottom
SW_DFU1,20.066,22.352,90.0,top
SW_ENA1,28.956,22.352,90.0,top
SW_WIFI1,37.834,22.351999,90.0,top
U1,36.576,1.508,270.0,top
U_MCU1,0.0,20.658,0.0,top
U_POW1,19.859,-16.591657,0.0,top
U_POW2,28.956,9.271,270.0,top
U_SER1,-22.606,0.0,90.0,top
U_STP1,-14.351,-12.4025,180.0,top
U_USB1,-33.782,1.778,270.0,top
